actors_id,movie_id
1,499549
2,499549
3,499549
4,449088
5,449088
6,449088
7,2379713
8,2379713
9,2379713
10,1345836
11,1345836
12,1345836
13,5289954
14,5289954
15,401729
16,401729
17,401729
18,398286
19,398286
20,398286
21,2395427
22,2395427
23,2395427
24,417741
25,417741
26,417741
27,2975590
28,2975590
29,2975590
30,348150
31,348150
32,348150
33,830515
34,830515
7,830515
4,383574
5,383574
6,383574
35,1210819
5,1210819
36,1210819
37,770828
28,770828
38,770828
39,499448
40,499448
41,499448
42,1298650
5,1298650
43,1298650
44,1409024
45,1409024
46,1409024
47,2310332
48,2310332
49,2310332
50,948470
51,948470
52,948470
53,955308
54,955308
55,955308
47,1170358
48,1170358
49,1170358
56,385752
57,385752
58,385752
59,120338
60,120338
61,120338
23,3498820
21,3498820
62,3498820
63,1440129
64,1440129
65,1440129
66,369610
67,369610
68,369610
69,316654
70,316654
71,316654
72,1300854
21,1300854
73,1300854
74,376994
75,376994
76,376994
77,1453405
78,1453405
79,1453405
80,1055369
81,1055369
82,1055369
83,2109248
84,2109248
74,2109248
50,1872181
51,1872181
85,1872181
86,1216475
87,1216475
88,1216475
89,1133985
90,1133985
91,1133985
92,435761
93,435761
94,435761
67,438488
10,438488
95,438488
96,2820852
97,2820852
98,2820852
99,816711
100,816711
101,816711
40,1877832
102,1877832
75,1877832
103,1408101
104,1408101
105,1408101
106,1351685
107,1351685
108,1351685
109,473075
110,473075
111,473075
112,1663662
113,1663662
114,1663662
115,1399103
81,1399103
80,1399103
116,367882
117,367882
118,367882
119,1979388
120,1979388
121,1979388
92,1217209
122,1217209
123,1217209
124,2660888
125,2660888
126,2660888
127,910970
92,910970
128,910970
129,293564
130,293564
131,293564
132,1190080
133,1190080
134,1190080
135,1067106
136,1067106
137,1067106
138,1617661
139,1617661
140,1617661
141,363771
118,363771
142,363771
143,3385516
102,3385516
144,3385516
145,468569
10,468569
146,468569
147,1049413
92,1049413
148,1049413
149,892782
150,892782
151,892782
152,371746
21,371746
72,371746
57,970179
153,970179
116,970179
154,120891
45,120891
155,120891
156,859163
157,859163
158,859163
159,1386697
45,1386697
160,1386697
146,413099
161,413099
162,413099
163,1631867
164,1631867
165,1631867
166,114898
167,114898
168,114898
169,1046173
12,1046173
170,1046173
171,2096673
150,2096673
172,2096673
23,1228705
21,1228705
72,1228705
173,1735898
22,1735898
42,1735898
174,1587310
175,1587310
176,1587310
66,2103281
137,2103281
177,2103281
178,1335975
179,1335975
180,1335975
62,1843866
23,1843866
181,1843866
182,892791
183,892791
184,892791
185,1964418
66,1964418
186,1964418
187,2245084
188,2245084
189,2245084
190,1772341
191,1772341
192,1772341
193,338348
93,338348
194,338348
195,1628841
196,1628841
197,1628841
198,892769
199,892769
200,892769
20,181852
201,181852
202,181852
98,2015381
203,2015381
204,2015381
205,816692
206,816692
207,816692
11,1375666
60,1375666
12,1375666
47,903624
48,903624
49,903624
208,421715
99,421715
209,421715
143,1270798
102,1270798
133,1270798
210,1951266
102,1951266
211,1951266
212,963966
213,963966
214,963966
215,409182
161,409182
216,409182
25,2567026
5,2567026
205,2567026
217,413267
218,413267
219,413267
220,803096
221,803096
222,803096
223,1340138
70,1340138
224,1340138
142,980970
225,980970
226,980970
227,213149
228,213149
229,213149
230,418279
231,418279
80,418279
175,346491
232,346491
233,346491
24,373889
234,373889
235,373889
24,330373
234,330373
26,330373
236,448157
45,448157
107,448157
237,480249
45,480249
238,480249
57,367594
5,367594
239,367594
92,382932
240,382932
241,382932
64,372784
10,372784
146,372784
242,479952
243,479952
244,479952
245,1078912
246,1078912
247,1078912
90,458525
75,458525
248,458525
249,242653
250,242653
251,242653
252,2294629
253,2294629
254,2294629
255,234215
256,234215
257,234215
258,1981115
22,1981115
232,1981115
236,1392190
11,1392190
259,1392190
260,808151
93,808151
261,808151
258,800369
22,800369
232,800369
262,397892
153,397892
263,397892
264,436339
265,436339
266,436339
267,1646987
64,1646987
268,1646987
153,1077368
5,1077368
57,1077368
269,2381249
164,2381249
270,2381249
271,780653
232,780653
272,780653
63,918940
8,918940
273,918940
274,389790
275,389790
276,389790
137,1302011
175,1302011
277,1302011
278,938283
279,938283
280,938283
164,317919
210,317919
107,317919
281,2334879
139,2334879
282,2334879
283,1305591
284,1305591
285,1305591
59,424095
75,424095
286,424095
287,864835
288,864835
289,864835
4,332452
99,332452
290,332452
291,1277953
242,1277953
244,1277953
292,246460
293,246460
294,246460
78,120591
295,120591
296,120591
297,120912
45,120912
276,120912
232,442933
136,442933
298,442933
175,2267968
70,2267968
299,2267968
269,1229238
164,1229238
300,1229238
301,1446192
75,1446192
302,1446192
303,369441
304,369441
305,369441
306,325710
164,325710
307,325710
308,796366
22,796366
103,796366
69,145487
70,145487
71,145487
204,1646971
199,1646971
198,1646971
309,2404233
199,2404233
310,2404233
311,382992
312,382992
313,382992
314,409459
315,409459
316,409459
317,122151
157,122151
318,122151
319,286716
320,286716
321,286716
322,1583421
139,1583421
309,1583421
149,318649
206,318649
147,318649
323,173840
78,173840
324,173840
221,458339
62,458339
181,458339
325,143145
292,143145
326,143145
327,311113
328,311113
329,311113
99,1402488
246,1402488
95,1402488
330,800080
288,800080
53,800080
331,86759
332,86759
333,86759
334,3691740
335,3691740
336,3691740
11,1663202
60,1663202
337,1663202
338,1860353
90,1860353
339,1860353
116,1192628
5,1192628
340,1192628
341,1911658
104,1911658
342,1911658
267,440963
343,440963
344,440963
299,441773
175,441773
283,441773
181,478970
66,478970
345,478970
211,1951264
102,1951264
346,1951264
173,1673434
234,1673434
347,1673434
348,407304
164,407304
349,407304
350,172156
45,172156
351,172156
352,448694
154,448694
353,448694
216,944835
175,944835
354,944835
355,1959490
232,1959490
356,1959490
357,983193
358,983193
359,983193
137,304141
24,304141
26,304141
310,455824
250,455824
360,455824
259,1815862
45,1815862
81,1815862
361,130623
362,130623
363,130623
364,1680310
26,1680310
365,1680310
245,2692250
246,2692250
247,2692250
99,1001526
70,1001526
366,1001526
235,241527
24,241527
367,241527
152,790736
90,790736
368,790736
369,4262980
370,4262980
371,4262980
4,325980
5,325980
6,325980
358,1571403
26,1571403
372,1571403
210,1951265
102,1951265
211,1951265
373,382625
93,382625
374,382625
375,2357291
376,2357291
377,2357291
378,290334
75,290334
379,290334
98,1596343
96,1596343
322,1596343
107,1515091
21,1515091
380,1515091
381,120657
359,120657
382,120657
383,1194173
269,1194173
384,1194173
196,118688
385,118688
386,118688
387,170016
388,170016
389,170016
169,319262
110,319262
195,319262
390,120755
164,120755
313,120755
391,177971
392,177971
393,177971
394,486576
62,486576
216,486576
336,454876
395,454876
396,454876
397,259324
213,259324
398,259324
399,4196776
343,4196776
400,4196776
243,305357
401,305357
402,305357
236,1446714
143,1446714
270,1446714
19,243585
403,243585
404,243585
174,1535108
343,1535108
237,1535108
405,296572
98,296572
406,296572
407,811080
408,811080
409,811080
410,1341188
411,1341188
412,1341188
413,1013743
164,1013743
351,1013743
164,1483013
146,1483013
414,1483013
57,121766
258,121766
415,121766
57,121765
258,121765
415,121765
92,198781
78,198781
416,198781
417,1430132
75,1430132
418,1430132
64,120915
258,120915
419,120915
51,481499
90,481499
213,481499
420,463872
421,463872
422,463872
423,245562
213,245562
424,245562
42,2381991
22,2381991
236,2381991
425,1454468
426,1454468
427,1454468
428,118928
429,118928
130,118928
430,3949660
431,3949660
19,3949660
245,477347
246,477347
247,477347
394,2126355
322,2126355
432,2126355
292,120347
433,120347
434,120347
435,187393
145,187393
36,187393
436,349903
99,349903
437,349903
175,356910
99,356910
438,356910
439,2908446
59,2908446
440,2908446
441,338751
60,338751
442,338751
443,1320261
444,1320261
445,1320261
36,990407
8,990407
446,990407
447,84967
448,84967
449,84967
450,1253863
56,1253863
330,1253863
451,472181
452,472181
453,472181
454,299172
78,299172
455,299172
439,3410834
456,3410834
259,3410834
457,433035
75,433035
458,433035
459,2017020
460,2017020
461,2017020
89,120179
462,120179
463,120179
464,1731141
117,1731141
465,1731141
466,337978
295,337978
467,337978
4,120737
57,120737
468,120737
242,248667
45,248667
311,248667
469,312528
79,312528
470,312528
103,343818
45,343818
471,343818
4,320661
64,320661
472,320661
403,164912
473,164912
474,164912
475,780521
274,780521
476,780521
477,3659388
343,3659388
478,3659388
479,1869849
480,141907
481,141907
482,141907
175,187078
213,187078
483,187078
484,172495
204,172495
485,172495
486,181689
164,181689
487,181689
26,295297
24,295297
355,295297
488,103064
311,103064
489,103064
10,1152836
5,1152836
43,1152836
490,765429
491,765429
492,765429
493,111503
494,111503
495,111503
82,1111422
491,1111422
496,1111422
497,970866
498,970866
499,970866
366,1386588
322,1386588
500,1386588
416,116213
501,116213
502,116213
8,1853728
60,1853728
400,1853728
503,116583
401,116583
504,116583
505,120917
506,120917
507,120917
508,1764651
97,1764651
295,1764651
509,368891
213,368891
510,368891
511,449010
204,449010
512,449010
513,386117
514,386117
515,386117
516,848537
211,848537
517,848537
518,146675
2,146675
519,146675
204,450259
60,450259
520,450259
206,993846
60,993846
72,993846
521,112462
385,112462
522,112462
523,120201
524,120201
525,120201
526,1371111
93,1371111
118,1371111
313,1219342
527,1219342
528,1219342
529,327554
442,327554
530,327554
291,133240
12,133240
531,133240
532,457400
366,457400
533,457400
508,2333784
