,director_name,director_id
0,James Cameron,1
1,Gore Verbinski,2
2,Sam Mendes,3
3,Christopher Nolan,4
4,Andrew Stanton,5
5,Nathan Greno,6
6,Joss Whedon,7
7,David Yates,8
8,Zack Snyder,9
9,Bryan Singer,10
10,Marc Forster,11
11,Andrew Adamson,12
12,Rob Marshall,13
13,Barry Sonnenfeld,14
14,Peter Jackson,15
15,Marc Webb,16
16,Ridley Scott,17
17,Chris Weitz,18
18,Anthony Russo,19
19,Peter Berg,20
20,Colin Trevorrow,21
21,Sam Raimi,22
22,Shane Black,23
23,Brett Ratner,24
24,Dan Scanlon,25
25,Michael Bay,26
26,John Lasseter,27
27,Martin Campbell,28
28,Lee Unkrich,29
29,McG,30
30,James Wan,31
31,J.J. Abrams,32
32,Mike Newell,33
33,Guillermo del Toro,34
34,Steven Spielberg,35
35,Mark Andrews,36
36,Justin Lin,37
37,Roland Emmerich,38
38,Robert Zemeckis,39
39,Lana Wachowski,40
40,Pete Docter,41
41,Rob Letterman,42
42,Jon Favreau,43
43,Martin Scorsese,44
44,Rob Cohen,45
45,David Ayer,46
46,Tom Shadyac,47
47,Doug Liman,48
48,Kevin Reynolds,49
49,Stephen Sommers,50
50,Rupert Sanders,51
51,Robert Stromberg,52
52,Matt Reeves,53
53,Carl Rinsch,54
54,Mike Mitchell,55
55,Brad Bird,56
56,Don Hall,57
57,Rich Moore,58
58,Dean DeBlois,59
59,Jonathan Mostow,60
60,James Gunn,61
61,David Fincher,62
62,Matthew Vaughn,63
63,Francis Lawrence,64
64,Jon Turteltaub,65
65,Wolfgang Petersen,66
66,James Bobin,67
67,Chris Miller,68
68,Duncan Jones,69
69,Alan Taylor,70
70,Michael Apted,71
71,Oliver Stone,72
72,Tim Burton,73
73,Eric Darnell,74
74,Shawn Levy,75
75,Gavin Hood,76
76,Chris Buck,77
77,George Miller,78
78,Ron Howard,79
79,Kenneth Branagh,80
80,Byron Howard,81
81,Hoyt Yeatman,82
82,Jonathan Liebesman,83
83,Christopher McQuarrie,84
84,Joe Johnston,85
85,Steve Hickner,86
86,Jennifer Yuh Nelson,87
87,M. Night Shyamalan,88
88,Simon Wells,89
89,David Bowers,90
90,Rob Minkoff,91
91,Lee Tamahori,92
92,Alessandro Carloni,93
93,Peter Ramsey,94
94,Dean Parisot,95
95,Edward Zwick,96
96,Alex Proyas,97
97,Richard Donner,98
98,Ang Lee,99
99,Jon M. Chu,100
100,Breck Eisner,101
101,Hironobu Sakaguchi,102
102,Peter Weir,103
103,Louis Leterrier,104
104,Alejandro G. Iñárritu,105
105,David Soren,106
106,Paul Greengrass,107
107,Mark Osborne,108
108,Peyton Reed,109
109,Bill Condon,110
110,Phillip Noyce,111
111,Darren Aronofsky,112
112,Alfonso Cuarón,113
113,Baz Luhrmann,114
114,Eric Leighton,115
115,Tom McGrath,116
116,Chris Columbus,117
117,Robert Schwentke,118
118,Carlos Saldanha,119
119,Guy Ritchie,120
120,John McTiernan,121
121,Tony Gilroy,122
122,Joel Schumacher,123
123,John Woo,124
124,Tim Story,125
125,Mark Steven Johnson,126
126,Neill Blomkamp,127
127,David Twohy,128
128,James L. Brooks,129
129,James Mangold,130
130,Joseph Kosinski,131
131,George Lucas,132
132,Kirk De Micco,133
133,Cedric Nicolas-Troyan,134
134,Roger Donaldson,135
135,Brad Peyton,136
136,Roger Spottiswoode,137
137,Steven Soderbergh,138
138,Michel Gondry,139
139,Noam Murro,140
140,Raja Gosnell,141
141,Will Finn,142
142,Jan de Bont,143
143,Len Wiseman,144
144,Michael Mann,145
145,Bo Welch,146
146,Ron Clements,147
147,Peter Chelsom,148
148,Dominic Sena,149
149,Tony Scott,150
150,Paul Weitz,151
151,Adam McKay,152
152,Chuck Russell,153
153,Quentin Tarantino,154
154,Gary Trousdale,155
155,Mark Dindal,156
156,Simon West,157
157,Stefen Fangmeier,158
158,Spike Jonze,159
159,Chris Wedge,160
160,Peter Hyams,161
161,Paul Verhoeven,162
162,Tom Tykwer,163
163,Pitof,164
164,Brad Silberling,165
165,Patrick Hughes,166
166,Lawrence Guterman,167
167,Ron Underwood,168
168,Steve Martino,169
169,David Mamet,170
170,Yimou Zhang,171
171,Ash Brannon,172
172,Frank Oz,173
173,Jay Roach,174
