movie_title,movie_id,color,director_id,num_critic_for_reviews,duration,gross,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio
Avatar,499549,Color,1,723.0,178,760505847.0,886204,0,"['avatar', 'future', 'marine', 'native', 'paraplegic']",http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054.0,English,USA,PG-13,237000000.0,2009,7.9,1.78
Pirates of the Caribbean: At World's End,449088,Color,2,302.0,169,309404152.0,471220,0,"['goddess', 'marriage ceremony', 'marriage proposal', 'pirate', 'singapore']",http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,USA,PG-13,300000000.0,2007,7.1,2.35
Spectre,2379713,Color,3,602.0,148,200074175.0,275868,1,"['bomb', 'espionage', 'sequel', 'spy', 'terrorist']",http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,UK,PG-13,245000000.0,2015,6.8,2.35
The Dark Knight Rises,1345836,Color,4,813.0,164,448130642.0,1144337,0,"['deception', 'imprisonment', 'lawlessness', 'police officer', 'terrorist plot']",http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701.0,English,USA,PG-13,250000000.0,2012,8.5,2.35
Star Wars: Episode VII - The Force Awakens,5289954,0,5,0.0,0,0.0,8,0,0,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,0.0,0,0,0,0.0,0,7.1,0.0
John Carter,401729,Color,6,462.0,132,73058679.0,212204,1,"['alien', 'american civil war', 'male nipple', 'mars', 'princess']",http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,USA,PG-13,263700000.0,2012,6.6,2.35
Tangled,398286,Color,7,324.0,100,200807262.0,294810,1,"['17th century', 'based on fairy tale', 'disney', 'flower', 'tower']",http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387.0,English,USA,PG,260000000.0,2010,7.8,1.85
Avengers: Age of Ultron,2395427,Color,8,635.0,141,458991599.0,462669,4,"['artificial intelligence', 'based on comic book', 'captain america', 'marvel cinematic universe', 'superhero']",http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117.0,English,USA,PG-13,250000000.0,2015,7.5,2.35
Harry Potter and the Half-Blood Prince,417741,Color,9,375.0,153,301956980.0,321795,3,"['blood', 'book', 'love', 'potion', 'professor']",http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973.0,English,UK,PG,250000000.0,2009,7.5,2.35
Batman v Superman: Dawn of Justice,2975590,Color,10,673.0,183,330249062.0,371639,0,"['based on comic book', 'batman', 'sequel to a reboot', 'superhero', 'superman']",http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018.0,English,USA,PG-13,250000000.0,2016,6.9,2.35
Superman Returns,348150,Color,11,434.0,169,200069408.0,240396,0,"['crystal', 'epic', 'lex luthor', 'lois lane', 'return to earth']",http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,USA,PG-13,209000000.0,2006,6.1,2.35
Quantum of Solace,830515,Color,12,403.0,106,168368427.0,330784,1,"['action hero', 'attempted rape', 'bond girl', 'official james bond series', 'revenge']",http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,UK,PG-13,200000000.0,2008,6.7,2.35
Pirates of the Caribbean: Dead Man's Chest,383574,Color,2,313.0,151,423032628.0,522040,2,"['box office hit', 'giant squid', 'heart', ""liar's dice"", 'monster']",http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,PG-13,225000000.0,2006,7.3,2.35
